,TeamId,TeamNumber,Max_Driver_Skill,Max_Programming_Skill,Total_Awards,count_champion,count_finalists,count_excellence,count_skillChampion
0,63419,14Z,73,43,2.0,0.0,0.0,0.0,0.0
1,139683,46V,164,156,6.0,3.0,1.0,0.0,1.0
2,139720,106A,156,119,9.0,3.0,0.0,1.0,1.0
3,139613,315D,175,101,4.0,2.0,1.0,0.0,1.0
4,84501,388A,227,243,3.0,0.0,0.0,0.0,1.0
5,84274,467A,106,77,1.0,0.0,0.0,0.0,1.0
6,130544,663T,121,42,4.0,0.0,1.0,2.0,1.0
7,140014,792G,112,54,4.0,0.0,0.0,1.0,0.0
8,122798,884A,161,114,14.0,1.0,2.0,2.0,2.0
9,123981,938X,197,162,9.0,4.0,0.0,1.0,0.0
10,57081,1032B,128,75,5.0,0.0,4.0,0.0,0.0
11,145407,1247B,61,37,0.0,0.0,0.0,0.0,0.0
12,108899,1304X,92,62,3.0,0.0,0.0,0.0,2.0
13,19582,1481E,102,53,2.0,0.0,0.0,0.0,0.0
14,145730,1737Y,142,118,8.0,3.0,0.0,3.0,0.0
15,151215,2088D,81,45,0.0,0.0,0.0,0.0,0.0
16,35815,2463A,138,24,8.0,0.0,2.0,1.0,0.0
17,11494,2775A,71,64,2.0,0.0,0.0,0.0,0.0
18,128979,3168X,105,86,1.0,0.0,0.0,1.0,0.0
19,140300,3324U,179,91,6.0,3.0,0.0,0.0,1.0
20,85196,3333X,82,57,2.0,1.0,0.0,0.0,0.0
21,49671,4073G,48,0,2.0,0.0,0.0,0.0,0.0
22,79132,4275B,145,44,1.0,1.0,0.0,0.0,0.0
23,124165,4610Y,93,23,0.0,0.0,0.0,0.0,0.0
24,93904,5156G,86,31,2.0,1.0,0.0,0.0,0.0
25,51616,6047C,110,53,4.0,0.0,1.0,1.0,0.0
26,67328,6199D,61,31,1.0,0.0,0.0,1.0,0.0
27,56222,6446C,92,12,5.0,2.0,0.0,1.0,1.0
28,115851,7192F,137,61,7.0,2.0,0.0,2.0,0.0
29,130350,7481C,92,35,3.0,0.0,2.0,0.0,0.0
30,87081,7690W,73,15,3.0,1.0,1.0,0.0,0.0
31,44569,7830A,116,59,2.0,1.0,0.0,1.0,0.0
32,114310,7831F,42,6,2.0,1.0,0.0,1.0,0.0
33,54058,8686G,123,63,5.0,0.0,0.0,0.0,3.0
34,57708,8781A,80,22,5.0,1.0,2.0,2.0,0.0
35,139938,9039Y,76,40,2.0,0.0,1.0,1.0,0.0
36,105778,9123X,93,9,1.0,1.0,0.0,0.0,0.0
37,52942,9447A,99,65,6.0,1.0,1.0,1.0,1.0
38,75328,10001C,87,38,3.0,2.0,0.0,0.0,0.0
39,112613,10012Y,158,90,4.0,0.0,1.0,2.0,0.0
40,71276,10173Z,69,19,6.0,0.0,0.0,1.0,0.0
41,139804,11045A,155,159,1.0,0.0,0.0,0.0,0.0
42,145080,13460X,109,48,1.0,0.0,0.0,1.0,0.0
43,126948,14791R,97,0,4.0,1.0,0.0,0.0,0.0
44,113861,16699Y,169,165,8.0,1.0,0.0,3.0,2.0
45,140882,18000J,84,41,1.0,0.0,1.0,0.0,0.0
46,131470,19291Z,111,52,0.0,0.0,0.0,0.0,0.0
47,145010,20196A,115,50,2.0,0.0,1.0,0.0,0.0
48,135718,20785Z,137,45,3.0,2.0,1.0,0.0,0.0
49,149764,23612T,72,22,1.0,0.0,1.0,0.0,0.0
50,111415,25900A,95,0,4.0,2.0,0.0,1.0,0.0
51,132795,27457A,22,0,0.0,0.0,0.0,0.0,0.0
52,110030,29651F,87,55,1.0,0.0,0.0,0.0,0.0
53,144536,33705A,74,36,5.0,2.0,0.0,2.0,0.0
54,110138,37816C,85,41,7.0,0.0,0.0,1.0,0.0
55,100291,39702F,117,62,3.0,1.0,2.0,0.0,0.0
56,147790,45009V,39,6,4.0,0.0,0.0,1.0,1.0
57,122839,48884A,120,85,3.0,0.0,1.0,0.0,0.0
58,98850,52800B,65,32,2.0,0.0,0.0,0.0,0.0
59,72046,56772A,121,76,1.0,0.0,0.0,1.0,0.0
60,93618,61170J,68,9,7.0,2.0,3.0,1.0,0.0
61,90337,61538B,111,65,5.0,0.0,1.0,1.0,2.0
62,72369,63724B,108,62,2.0,1.0,0.0,0.0,0.0
63,143905,66465F,118,77,3.0,1.0,0.0,0.0,0.0
64,114710,69414Z,112,59,7.0,2.0,0.0,0.0,4.0
65,101903,71300D,103,85,2.0,1.0,0.0,0.0,1.0
66,133870,71678B,88,83,1.0,0.0,0.0,0.0,0.0
67,113389,73352C,59,16,2.0,1.0,0.0,1.0,0.0
68,107635,74177A,89,12,2.0,0.0,0.0,0.0,0.0
69,133342,75442X,122,95,2.0,0.0,1.0,0.0,0.0
70,139812,77701A,157,101,4.0,2.0,0.0,1.0,0.0
71,130100,78759D,132,108,5.0,2.0,1.0,1.0,1.0
72,135523,79298J,95,57,3.0,1.0,0.0,1.0,0.0
73,152178,81011W,202,0,3.0,1.0,0.0,1.0,0.0
74,84181,84927A,106,55,0.0,0.0,0.0,0.0,0.0
75,107477,88825B,213,223,6.0,1.0,0.0,0.0,1.0
76,105021,89878D,72,39,5.0,1.0,0.0,2.0,0.0
77,132456,93303R,62,26,5.0,1.0,1.0,2.0,0.0
78,71289,97310A,107,104,1.0,0.0,0.0,0.0,0.0
79,139043,98992A,133,102,4.0,2.0,2.0,0.0,0.0
80,139632,99116Y,163,48,7.0,3.0,3.0,0.0,0.0
81,65700,99656A,122,92,2.0,1.0,0.0,0.0,0.0
