Team,Name,School,Location,Age Group
14Z,Happy Oven Mitts,Marsteller Middle School,Bristow Virginia United States,Middle School
46V,Venom,Seton SCHOOL,"Manassas, Virginia, United States",Middle School
106A,Brain Deads,Excel-Robotic Lab LLC,"Plano, Texas, United States",Middle School
315D,Paradigm,Paradigm,"Saratoga, California, United States",Middle School
388A,瑞瑞瑞 388A,China Shanghai Robot Education technology co.,"Shanghai, Shanghai, China",Middle School
,,LTD,,
467A,Til The End,WEST MIDDLE SCHOOL,"Nampa, Idaho, United States",Middle School
663T,Manual Transmission,CHATTANOOGA CHRISTIAN SCHOOL,"Chattanooga, Tennessee, United States",Middle School
792G,Thursday Frogs,JEFFREY TRAIL MIDDLE,"Irvine, California, United States",Middle School
884A,Space Pandas,MBX Foundation,"Manhattan Beach, California, United States",Middle School
938X,Blaze Robotics Qubits,Blaze Robotics Academy,"Bellevue, Washington, United States",Middle School
1032B,Not Enough Time,BESSIE ALLEN MIDDLE,"North Fond du Lac, Wisconsin, United",Middle School
1247B,KitFingers,WESTBROOK INT,"Houston, Texas, United States",Middle School
1304X,Flying Solo,,"Derby, Kansas, United States",Middle School
1481E,Golden Hawks,GAINESVILLE MIDDLE,"Gainesville, Virginia, United States",Middle School
1737Y,Blue Ribbon,International Robotics Academy,"Almaty, Kazakhstan",Middle School
2088D,Western Mechatronics,Western Mechatronics,"Calgary, Alberta, Canada",Middle School
2463A,Golden Hawks Intermediate,Nanakuli Intermediate School,"Waianae, Hawaii, United States",Middle School
2775A,Jackson Area Robotics,Jackson Area Robotics,"Jackson, Tennessee, United States",Middle School
3168X,Rubixcoders,Skywalker Robotics,"Auckland, New Zealand",Middle School
3324U,Supernova U,SCIENCE ACADEMY STEM MAGNET,"Los Angeles, California, United States",Middle School
3333X,X-treme Bot,NOTRE DAME PREPARATORY SCHOOL &,"Pontiac, Michigan, United States",Middle School
4073G,VEX JETS,JOE WALKER MIDDLE,"Lancaster, California, United States",Middle School
4275B,CCK-2,CMA Choi Cheung Kok Secondary School,"NT, Hong Kong",Middle School
4610Y,Flakey Celery,Robot Revolution,"summit, New Jersey, United States",Middle School
5156G,Insert Text Here,York Middle School,"York, Maine, United States",Middle School
6047C,Chaos and Confusion,WESTVIEW MIDDLE SCHOOL,"Longmont, Colorado, United States",Middle School
6199D,WiredCats D,The Westminster Schools,"Atlanta, Georgia, United States",Middle School
6446C,Royal Robotics 6446C,RANCHO DEL REY MIDDLE,"Chula Vista, California, United States",Middle School
7192F,The Masked Bandits,Windom Middle School,"Windom, Minnesota, United States",Middle School
7481C,CobraBots,LEAGUE CITY INT,"Houston, Texas, United States",Middle School
7690W,7690W - FJH Stumble Guys,FRUITVALE JUNIOR HIGH,"Bakersfield, California, United States",Middle School
7830A,ACP Noble Knights,Arizona College Prep Middle School,"Chandler, Arizona, United States",Middle School
7831F,"That's No Moon, It's a Flexwheel!",FRANK H HARRISON MIDDLE SCHOOL,"Yarmouth, Maine, United States",Middle School
8686G,Gorrillas,SEVIER MIDDLE,"Greenville, South Carolina, United States",Middle School
8781A,OK Robotics,Olive Knolls Christian School,"BAKERSFIELD, California, United States",Middle School
9039Y,Kraken,BrandywineBOTS Robotics Club,"Wilmington, Delaware, United States",Middle School
9123X,Shanghai RuiGuan Team 9123X,ShangHai RuiGuan,"Shanghai, Shanghai, China",Middle School
9447A,RoboPhoenixes,Palmetto Scholars Academy,"North Charleston, South Carolina, United",Middle School
10001C,Sponge Bot Spare Parts,PRAIRIE WINDS MIDDLE SCHOOL,"Mankato, Minnesota, United States",Middle School
10012Y,Ten Ton Robotics,Ten Ton Robotics,"West Vancouver, British Columbia, Canada",Middle School
10173Z,HBS Spark,Henrietta Barnett School,"London, United Kingdom",Middle School
11045A,UnderBot,Hsinchu County American School,"Zhubei, Taiwan",Middle School
13460X,SE Mecharauders,Sherburne-Earlville Senior High School,"Sherburne, New York, United States",Middle School
14791R,vexer flexer,the harker school,"Saratoga, California, United States",Middle School
16699Y,Overclock MS,NY Youth Tech,"Flushing, New York, United States",Middle School
18000J,Iron Patriots - Jack Jack,Sullivan East Middle School,"Bluff City, Tennessee, United States",Middle School
19291Z,Mom's Favorite,Ankeney Middle School/Greene County Career,"Beavercreek, Ohio, United States",Middle School
20196A,Spiky Dinos,Northshore Coding and Robotics Club,"Great Neck, New York, United States",Middle School
20785Z,Typhoon,Queen Elizabeth's School,"London, United Kingdom",Middle School
23612T,Cycle,LAKESIDE JUNIOR HIGH SCHOOL,"Springdale, AR, Arkansas, United States",Middle School
25900A,Allison Aces,ALLISON TRADITIONAL MAGNET MIDDLE,"Wichita, Kansas, United States",Middle School
27457A,TRUMAN VEX,TRUMAN MIDDLE,"Albuquerque, New Mexico, United States",Middle School
29651F,Just Hack It,BLUE RIDGE MIDDLE,"Greer, South Carolina, United States",Middle School
33705A,LA Matrix,Region 5 Stem Center,"LAKE CHARLES, Louisiana, United States",Middle School
37816C,Sweet & Salty,JACOB COY MIDDLE SCHOOL,"Beavercreek, Ohio, United States",Middle School
39702F,New Hope Robotics,NEW HOPE MIDDLE SCHOOL,"Columbus, Mississippi, United States",Middle School
45009V,The Water Dragons,YOUNG WOMEN'S LEADERSHIP ACADEMY,"El Paso, Texas, United States",Middle School
48884A,Gear Grinders,,,,"San Diego, California, United States",Middle School
52800B,Crispy Fried Chicken,SOARING HEIGHTS PK-8,,,"Erie, Colorado, United States",Middle School
56772A,St. Mary Robotics,ST MARY SCHOOL,,,"Alexandria, Kentucky, United States",Middle School
61170J,Tiger Kappa,SOUTH JUNIOR HIGH,,,"St. Cloud, Minnesota, United States",Middle School
61538B,Bandits,CHENEY MIDDLE SCHOOL,,,"Cheney, Kansas, United States",Middle School
63724B,University School Sharks Robotics,NSU UNIVERSITY SCHOOL,,,"Ft. Lauderdale, Florida, United States",Middle School
66465F,Steel Devils VI,BRIDGE STREET MIDDLE SCHOOL,,,"Wheeling, West Virginia, United States",Middle School
69414Z,KLK Canes,ANNIE CAMP JR. HIGH SCHOOL,,,"Jonesboro, Arkansas, United States",Middle School
71300D,Jont,Lied Middle School,,,"Las Vegas, Nevada, United States",Middle School
71678B,TPCS Galahad,TRADERS POINT CHRISTIAN ACADEMY,,,"Whitestown, Indiana, United States",Middle School
73352C,Aces,Vinton Middle School,,,"Vinton, Louisiana, United States",Middle School
74177A,Metal Benders,Pinecrest Academy Sloan Canyon,,,"Henderson, Nevada, United States",Middle School
75442X,X-Factor,FARMERSVILLE JUNIOR HIGH SCHOOL,,,"Farmersville, Texas, United States",Middle School
77701A,『 』 ,IBSH,,,"Hsinchu, Taiwan",Middle School
78759D,Storm Bots,Canyon Vista Middle School,,,"AUSTIN, Texas, United States",Middle School
79298J,Crazy Aces,Altona Middle School,,,"LONGMONT, Colorado, United States",Middle School
81011W,SUPER BEAR,天天天天天,实实,天天,"Tianjin, Tianjin, China",Middle School
84927A,Short Circuit,MARY G. PORTER TRADITIONAL,,,"Woodbridge, Virginia, United States",Middle School
88825B,Artemis,Shanghai No.1 Experimental School Affliated to,,,"Shanghai, Shanghai, China",Middle School
89878D,Dream Team,Powdersville Middle School,,,"Greenville, South Carolina, United States",Middle School
93303R,The NPCs,Monmouth Memorial School,,,"Monmouth, Maine, United States",Middle School
97310A,Andrometa,LOVELAND MIDDLE SCHOOL,,,"Loveland, Ohio, United States",Middle School
98992A,Ankle Assassins,Milford Jr. High School,,,"Milford, Ohio, United States",Middle School
99116Y,Probotics,99116,,,"Santa Clara, California, United States",Middle School
99656A,Barnetuckee,BARNESVILLE MIDDLE SCHOOL,,,"Barnesville, Ohio, United States",Middle School

